team,points
WWYGHKJDTIDVOFBU,14
RCEYUFKXNJUSOSPK,16
KWNHSRDAWRXHIZHB,15
DJZIVKYCOVGQDKSX,15
SEIKUIDWQNHCGCAF,14
ZLDAWRVZTXFEIICL,17
ZRGFFCQJGCNLLGYX,14
VALKXDDSWUGIZVAB,15
JCGBMMJDGCRDNEZD,14
LMJOGNWFSSRKKGSQ,16
JIRLMENYIRKUKHBZ,13
XZPMCYOIUSEICCCF,13
WTGKONEBMRMLVWFT,13
OPARHBZRQZHQOZLZ,16
NROVXCXUVDFCKXZG,14
MMXHUMYHZFJXYSHV,14
DXCORPJGOVNUZOWZ,12
GBILUBTUCLLPQRUN,14
EBDINFRIJFJMXADQ,12
KZQREOJMAWUHKZMM,12
PJVDXCYBIAAQBSJU,15
AYJXWOHEKXKOOCGA,15
KNZUXYNPYNWQNAME,14
CNEFNIEVRYWGWZIL,12
AVLUVNPBVZVPYMFS,15
SSMWTNFRHAXKYPHL,12
NKCSAIXYIMZLXILT,14
KHLEICORYQXDHCIT,16
CFFAUTWESGITYWGG,14
SUJWCIDWVQAREIFY,12
PUGPDXBHMDWRBVPE,13
UDAUUJBXEOBPVPRX,12
JRJOAQKBVSBFVZHC,11
AZKCBGZOJANCTCJE,12
VLSWKLBNPFNKHZTY,11
RFBOITBJCTECOETH,12
SFFFJSUWBGZABGZL,12
IRPLTTSVSYXLGSSZ,13
IGWNVJMOWZQNLENJ,12
ENPXKKXRCDZOKMZY,14
ECXRTVMRJRVRFCTE,13
XLZTGDYCVWCDODQL,13
JUPHLNHLMGFGGUFA,15
ORVQVNBAHRUJJJTI,15
ZNHRDOLAITIWTHPY,11
ZCQSTBLKGZNJISJS,13
NDMPPGYMMYYOEUEY,11
ETLJKUIIMGIBXQTS,12
SDKNOYCGJHEMGZRE,13
FCBRBJHTBQHZNEZZ,12
MZELOKBAUVTEAHGS,13
GWAIPDJLHRYWKZTL,13
TJEZYMCRIIAFHFYA,12
UNIJUTONCQPPXHMI,11
UGSRIQAPZRVHTRNX,14
BLBDXEGJBHSGHZAK,16
ZKSYCHACYOWSDLJW,14
ZSVVJOSKVCYOOHOA,14
PHMQNRBJXLOAHRPE,11
KBMVVPIUGITJFJVG,13
AZSECYPQMCWBKWFD,14
GSDIHZESTVPNYRVX,14
HLRFYKHIYWCHZNOJ,12
FCTRPWFYHZALZIXI,13
UBODZGZQUCORUJTX,13
BGDZLOGQNVJZNRIB,13
PIHLKIVMJOKKYAHL,11
AIWWJXXNTAFSYCKV,12
